ASIN,MARKETPLACE,REGION,BRAND_NAME,MAIN_CATEGORY,SUB_CATEGORY
B00FAZ6L4Y,TR,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07V6LYQKK,ES,EU,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B01J1C3U1S,UK,UK,Espring,Automotive,Baby Car Seats & Accessories
B0829BCTTX,IT,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01N8XWTUI,TR,EU,H&S,"Clothing, Shoes & Jewelry",Women
B01NATTRD3,CA,CA,H&S,Tools & Home Improvement,Kitchen & Bath Fixtures
B07BMZGV4Z,NL,EU,H&S,Home & Kitchen,Kitchen & Dining
B00FHGCK32,BE,EU,H&S,Tools & Home Improvement,Hardware
B0727Q3H5D,ES,EU,Espring,Home & Kitchen,Kitchen & Dining
B01MSWBUX5,BE,EU,H&S,Sports & Outdoors,Outdoor Recreation
B01HPUR7WQ,NON-AMAZON,EU,Espring,Sports & Outdoors,Sports & Fitness
B07V4G6K18,IT,EU,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B07XMCM4B4,SE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07P4362J2,NON-AMAZON,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07PRRK9B1,NL,EU,Espring,Home & Kitchen,Kitchen & Dining
B017DJFUNC,NON-AMAZON,EU,Espring,Baby Products,Strollers & Accessories
B0875PQLS9,FR,EU,Espring,Home & Kitchen,Kitchen & Dining
B07CNDR86T,US,US,H&S,Beauty & Personal Care,Hair Care
B0857K4ZDQ,NL,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07J5SM2HC,NL,EU,H&S,Sports & Outdoors,Exercise & Fitness
B0144EOR7E,IT,EU,Espring,Home & Kitchen,Kitchen & Dining
B08HM2VGX9,DE,EU,Espring,Automotive,Car Care
B07SWX3J6S,IT,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B06Y52RZZK,UK,UK,H&S,"Clothing, Shoes & Jewelry",Men
B01IRAN2R2,FR,EU,Espring,Sports & Outdoors,Outdoor Recreation
B08FQWZDQP,UK,UK,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07PNX2XJF,ES,EU,Tritart,Office Products,Office & School Supplies
B08B8JF8CB,NL,EU,Espring,Home & Kitchen,Kitchen & Dining
B085F37HBC,IT,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07NVDQCKB,NL,EU,Espring,Sports & Outdoors,Outdoor Recreation
B0721JH8PH,FR,EU,H&S,Home & Kitchen,Bath
B085W7Y6HC,FR,EU,Espring,Beauty & Personal Care,Shave & Hair Removal
B07WJNGG8J,TR,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07TKCV8HT,NON-AMAZON,EU,H&S,Sports & Outdoors,Outdoor Recreation
